timestamp,long_size,short_size,total_size
2025-01-24 11:55:40.553805,1969224.08164665,137047.51670278,2106271.59834943
2025-01-24 12:06:01.412616,163816.01473352,261412.09955481,425228.11428833
2025-01-24 12:16:34.392784,196853.10127234,162325.8310177,359178.93229004
2025-01-24 12:19:45.661759,320192.11530663003,110575.95121067,430768.0665173
2025-01-24 12:30:13.075926,218436.48855907,177336.73391805,395773.22247712
2025-01-24 12:40:33.796950,91502.63275880998,287700.53503245,379203.16779126
2025-01-24 12:50:42.043052,62934.359194920005,343200.10494926,406134.46414418
2025-01-25 08:07:05.528365,140720.75511601,223553.15392629,364273.90904229996
2025-01-25 08:17:37.229018,341820.41971700994,69726.79839024,411547.21810724994
2025-01-25 08:28:26.561017,118200.6792084,161078.09828674,279278.77749514
2025-01-25 08:38:32.778763,131802.27801846,130144.39238552001,261946.67040398
2025-01-25 08:48:41.660924,74302.45201904999,180665.60542235005,254968.05744140004
2025-01-25 08:58:54.138201,20131.90565728,215713.40304451002,235845.30870179003
2025-01-25 09:09:28.570000,32323.897881219993,378437.45565876,410761.35353997996
2025-01-25 09:19:53.908033,48839.78598848,179338.46620088,228178.25218936
2025-01-25 09:31:34.936754,77668.66561163,276104.71114948,353773.37676111003
2025-01-25 09:41:40.344992,71473.55352157001,93305.06639015,164778.61991172
2025-01-25 09:51:45.015813,104887.26872746,89266.41797881,194153.68670627
2025-01-25 10:01:52.957137,144660.03852907,57521.42779755,202181.46632662002
2025-01-25 10:11:57.559922,196267.20448998,53430.07229291999,249697.2767829
2025-01-25 10:22:21.992312,245284.38251367997,82879.82755379999,328164.21006748
2025-01-25 10:32:52.004134,262521.06993772,160911.2294584,423432.29939612
2025-01-25 10:42:57.393169,374964.1495608799,138619.9259546,513584.0755154799
2025-01-25 10:53:03.062315,220998.24471144,100300.41810504,321298.66281648
2025-01-25 11:03:26.266508,332569.94445139,1869596.54352626,2202166.48797765
2025-01-25 11:13:32.512094,456120.72338469,1781933.90653953,2238054.62992422
2025-01-25 11:23:43.610438,66662.96871629001,1091133.91649765,1157796.8852139402
2025-01-25 11:34:29.341715,92238.84957522001,3046443.3505089907,3138682.200084211
2025-01-25 11:44:35.404946,75252.23776098002,222554.90870534,297807.14646632003
2025-01-25 11:54:40.335284,110430.42067634001,180993.0464013,291423.46707764
